# Fix print output for fix extra
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
0 20.251 0 14.32 0 35.707675
